STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,13597676600.0,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHS,"Bahamas, The",WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLZ,Belize,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
